gpt-3.5-turbo_TrueFalseAssertCF_response,gpt-3.5-turbo_TrueFalseAssertCF_mitigation_response,gpt-3.5-turbo_TrueFalseAssertCF_inline_response,gpt-3.5-turbo_TrueFalseAssertCF_CoT_response,gpt-3.5-turbo_TrueFalseAssertCF_EXM,gpt-3.5-turbo_TrueFalseAssertCF_mitigation_EXM,gpt-3.5-turbo_TrueFalseAssertCF_inline_EXM,gpt-3.5-turbo_TrueFalseAssertCF_CoT_EXM,gpt-3.5-turbo_TrueFalseAssertCF_retrieval,gpt-3.5-turbo_TrueFalseAssertCF_mitigation_retrieval,gpt-3.5-turbo_TrueFalseAssertCF_inline_retrieval,gpt-3.5-turbo_TrueFalseAssertCF_CoT_retrieval,gpt-3.5-turbo_TrueFalseAssertCF_bleu,gpt-3.5-turbo_TrueFalseAssertCF_mitigation_bleu,gpt-3.5-turbo_TrueFalseAssertCF_inline_bleu,gpt-3.5-turbo_TrueFalseAssertCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
